ஃ x 
பெருமையைத் pɛ̝ɾɨmʌjɪ̯ʌɪ̯t̪ 
பெருமையைப் pɛ̝ɾɨmʌjɪ̯ʌɪ̯p 
பெருமையோடு pɛ̝ɾɨmʌjɪ̯o˞ːɽɨ 
பெரும் pɛ̝ɾɨm 
பெரும்பகுதி pɛ̝ɾɨmbʌxɨðɪˑ 
பெரும்பகுதியான pɛ̝ɾɨmbʌxɨðɪɪ̯ɑːn̺ə 
பெரும்பகுதியை pɛ̝ɾɨmbʌxɨðɪɪ̯ʌɪ̯ 
பெரும்படையை pɛ̝ɾɨmbʌ˞ɽʌjɪ̯ʌɪ̯ 
பெரும்பாக்கம் pɛ̝ɾɨmbɑːkkʌm 
பெரும்பான்மையான pɛ̝ɾɨmbɑːn̺mʌjɪ̯ɑːn̺ə 
பெரும்பான்மையானவை pɛ̝ɾɨmbɑːn̺mʌjɪ̯ɑːn̺ʌʋʌɪ̯ 
பெரும்பாலனவர்கள் pɛ̝ɾɨmbɑːlʌn̺ʌʋʌrɣʌ˞ɭ 
பெரும்பாலனவை pɛ̝ɾɨmbɑːlʌn̺ʌʋʌɪ̯ 
பெரும்பாலான pɛ̝ɾɨmbɑːlɑːn̺ə 
பெரும்பாலானஅலுவலகங்களும் pɛ̝ɾɨmbɑːlɑːn̺aˀʌlɨʋʌlʌxʌŋgʌ˞ɭʼɨm 
பெரும்பாலானப் pɛ̝ɾɨmbɑːlɑːn̺ʌp 
பெரும்பாலானவர்களிடம் pɛ̝ɾɨmbɑːlɑːn̺ʌʋʌrɣʌ˞ɭʼɪ˞ɽʌm 
பெரும்பாலானவர்களின் pɛ̝ɾɨmbɑːlɑːn̺ʌʋʌrɣʌ˞ɭʼɪn̺ 
பெரும்பாலானவர்கள் pɛ̝ɾɨmbɑːlɑːn̺ʌʋʌrɣʌ˞ɭ 
பெரும்பாலானவை pɛ̝ɾɨmbɑːlɑːn̺ʌʋʌɪ̯ 
பெரும்பாலானோரை pɛ̝ɾɨmbɑːlɑːn̺oːɾʌɪ̯ 
பெரும்பாலானோர் pɛ̝ɾɨmbɑːlɑːn̺oːr 
பெரும்பாலும் pɛ̝ɾɨmbɑːlɨm 
பெரும்புதூர் pɛ̝ɾɨmbʉ̩ðuːr 
பெரும்பேர் pɛ̝ɾɨmbeːr 
பெருவாரியான pɛ̝ɾɨʋɑːɾɪɪ̯ɑːn̺ə 
பெருவிழாவாகக் pɛ̝ɾɨʋɪ˞ɻɑːʋɑːxʌk 
பெரெரோ pɛ̝ɾɛ̝ɾoˑ 
பெரேரா pɛ̝ɾeːɾɑː 
பெரோஷா pɛ̝ɾoːʂɑː 
பெர்டிச் pɛ̝rʈɪtʃ 
பெர்டிச்சை pɛ̝rʈɪtʃtʃʌɪ̯ 
பெர்த்திற்குக் pɛ̝rt̪t̪ɪrkɨk 
பெர்னாண்டஸ் pɛ̝rn̺ɑ˞ːɳɖʌs 
பெர்னாண்டோ pɛ̝rn̺ɑ˞ːɳɖoˑ 
பெர்னான்டஸ் pɛ̝rn̺ɑːn̺ʈʌs 
பெர்னாய்க் pɛ̝rn̺ɑːɪ̯k 
பெர்னார்ட் pɛ̝rn̺ɑːrʈ 
பெர்ன் pɛ̝rn̺ 
பெர்மிட் pɛ̝rmɪ˞ʈ 
பெர்முடா pɛ̝rmʉ̩˞ɽɑː 
பெர்ரி pɛ̝rrɪˑ 
பெர்லினில் pɛ̝rlɪn̺ɪl 
பெர்லினுக்கு pɛ̝rlɪn̺ɨkkɨ 
பெர்லினுக்குக் pɛ̝rlɪn̺ɨkkɨk 
பெர்லின் pɛ̝rlɪn̺ 
பெற pɛ̝ɾə 
பெறச் pɛ̝ɾʌtʃ 
பெறச்செய்தீர்கள் pɛ̝ɾʌtʃtʃɛ̝ɪ̯ðiːrɣʌ˞ɭ 
பெறப் pɛ̝ɾʌp 
பெறப்பட pɛ̝ɾʌppʌ˞ɽə 
பெறப்படுகின்றன pɛ̝ɾʌppʌ˞ɽɨçɪn̺d̺ʳʌn̺ə 
பெறப்படுகிறது pɛ̝ɾʌppʌ˞ɽɨçɪɾʌðɨ 
பெறப்படும் pɛ̝ɾʌppʌ˞ɽɨm 
பெறப்படுவதால் pɛ̝ɾʌppʌ˞ɽɨʋʌðɑːl 
பெறப்பட்ட pɛ̝ɾʌppʌ˞ʈʈə 
பெறப்பட்டதாக pɛ̝ɾʌppʌ˞ʈʈʌðɑːxə 
பெறப்பட்டதில் pɛ̝ɾʌppʌ˞ʈʈʌðɪl 
பெறப்பட்டவர் pɛ̝ɾʌppʌ˞ʈʈʌʋʌr 
பெறப்பட்டு pɛ̝ɾʌppʌ˞ʈʈɨ 
பெறப்போகிறது pɛ̝ɾʌppoːçɪɾʌðɨ 
பெறப்போகும் pɛ̝ɾʌppoːxɨm 
பெறப்போவதில்லை pɛ̝ɾʌppoːʋʌðɪllʌɪ̯ 
பெறமுடியும் pɛ̝ɾʌmʉ̩˞ɽɪɪ̯ɨm 
பெறலாம் pɛ̝ɾʌlɑːm 
பெறவில்லை pɛ̝ɾʌʋɪllʌɪ̯ 
பெறவும் pɛ̝ɾʌʋʉ̩m 
பெறவுள்ள pɛ̝ɾʌʋʉ̩˞ɭɭə 
பெறவுள்ளார் pɛ̝ɾʌʋʉ̩˞ɭɭɑːr 
பெறவே pɛ̝ɾʌʋeˑ 
பெறவேண்டுமென pɛ̝ɾʌʋe˞ːɳɖɨmɛ̝n̺ə 
பெறவேண்டும் pɛ̝ɾʌʋe˞ːɳɖɨm 
பெறா pɛ̝ɾɑː 
பெறாத pɛ̝ɾɑːðə 
பெறாதது pɛ̝ɾɑːðʌðɨ 
பெறாது pɛ̝ɾɑːðɨ 
பெறாமலா pɛ̝ɾɑːmʌlɑː 
பெறாமல் pɛ̝ɾɑːmʌl 
பெறாமால் pɛ̝ɾɑːmɑːl 
பெறு pɛ̝ɾɨ 
பெறுகின்றன pɛ̝ɾɨçɪn̺d̺ʳʌn̺ə 
பெறுகின்றனர் pɛ̝ɾɨçɪn̺d̺ʳʌn̺ʌr 
பெறுகின்றார்கள் pɛ̝ɾɨçɪn̺d̺ʳɑːrɣʌ˞ɭ 
பெறுகிற pɛ̝ɾɨçɪɾə 
பெறுகிறதா pɛ̝ɾɨçɪɾʌðɑː 
பெறுகிறது pɛ̝ɾɨçɪɾʌðɨ 
பெறுகிறான் pɛ̝ɾɨçɪɾɑːn̺ 
பெறுகிறார் pɛ̝ɾɨçɪɾɑːr 
பெறுகிறார்கள் pɛ̝ɾɨçɪɾɑːrɣʌ˞ɭ 
பெறுகிறாள் pɛ̝ɾɨçɪɾɑ˞ːɭ 
பெறுபவரின் pɛ̝ɾɨβʌʋʌɾɪn̺ 
பெறுபவர் pɛ̝ɾɨβʌʋʌr 
பெறுபவர்களே pɛ̝ɾɨβʌʋʌrɣʌ˞ɭʼeˑ 
பெறுபவர்கள் pɛ̝ɾɨβʌʋʌrɣʌ˞ɭ 
பெறுமா pɛ̝ɾɨmɑː 
பெறும் pɛ̝ɾɨm 
பெறும்போது pɛ̝ɾɨmboːðɨ 
பெறும்போதே pɛ̝ɾɨmboːðeˑ 
பெறும் pɛ̝ɾɨm 
பெறும் pɛ̝ɾɨm 
பெறுவதற்காக pɛ̝ɾɨʋʌðʌrkɑːxə 
பெறுவதற்காகவே pɛ̝ɾɨʋʌðʌrkɑːxʌʋeˑ 
பெறுவதற்கான pɛ̝ɾɨʋʌðʌrkɑːn̺ə 
பெறுவதற்கு pɛ̝ɾɨʋʌðʌrkɨ 
பெறுவதற்கும் pɛ̝ɾɨʋʌðʌrkɨm 
பெறுவதற்கேற்ற pɛ̝ɾɨʋʌðʌrkeːt̺t̺ʳə 
பெறுவதாக pɛ̝ɾɨʋʌðɑːxə 
பெறுவதிலும் pɛ̝ɾɨʋʌðɪlɨm 
பெறுவதிலேயே pɛ̝ɾɨʋʌðɪleːɪ̯eˑ 
பெறுவதில் pɛ̝ɾɨʋʌðɪl 
பெறுவது pɛ̝ɾɨʋʌðɨ 
பெறுவதும் pɛ̝ɾɨʋʌðɨm 
பெறுவதைக் pɛ̝ɾɨʋʌðʌɪ̯k 
பெறுவதையே pɛ̝ɾɨʋʌðʌjɪ̯eˑ 
பெறுவதையொட்டி pɛ̝ɾɨʋʌðʌjɪ̯o̞ʈʈɪˑ 
பெறுவார்கள் pɛ̝ɾɨʋɑːrɣʌ˞ɭ 
பெறுவேன் pɛ̝ɾɨʋeːn̺ 
பெறுவோம் pɛ̝ɾɨʋoːm 
பெறுவோரின் pɛ̝ɾɨʋoːɾɪn̺ 
பெறுவோருக்கு pɛ̝ɾɨʋoːɾɨkkɨ 
பெறுவோர் pɛ̝ɾɨʋoːr 
பெறுவோர்தான் pɛ̝ɾɨʋoːrðɑːn̺ 
பெற் pɛ̝r 
பெற்ற pɛ̝t̺t̺ʳə 
பெற்றதற்கு pɛ̝t̺t̺ʳʌðʌrkɨ 
பெற்றதாக pɛ̝t̺t̺ʳʌðɑːxə 
பெற்றதாகவும் pɛ̝t̺t̺ʳʌðɑːxʌʋʉ̩m 
பெற்றதில் pɛ̝t̺t̺ʳʌðɪl 
பெற்றது pɛ̝t̺t̺ʳʌðɨ 
பெற்றதை pɛ̝t̺t̺ʳʌðʌɪ̯ 
பெற்றதைப் pɛ̝t̺t̺ʳʌðʌɪ̯p 
பெற்றதோடு pɛ̝t̺t̺ʳʌðo˞ːɽɨ 
பெற்றன pɛ̝t̺t̺ʳʌn̺ə 
பெற்றனர் pɛ̝t̺t̺ʳʌn̺ʌr 
பெற்றவரானார் pɛ̝t̺t̺ʳʌʋʌɾɑːn̺ɑːr 
பெற்றவரும் pɛ̝t̺t̺ʳʌʋʌɾɨm 
பெற்றவர் pɛ̝t̺t̺ʳʌʋʌr 
பெற்றவர்களிடம் pɛ̝t̺t̺ʳʌʋʌrɣʌ˞ɭʼɪ˞ɽʌm 
பெற்றவர்களில் pɛ̝t̺t̺ʳʌʋʌrɣʌ˞ɭʼɪl 
பெற்றவர்களுக்கு pɛ̝t̺t̺ʳʌʋʌrɣʌ˞ɭʼɨkkɨ 
பெற்றவர்களும் pɛ̝t̺t̺ʳʌʋʌrɣʌ˞ɭʼɨm 
பெற்றவர்கள் pɛ̝t̺t̺ʳʌʋʌrɣʌ˞ɭ 
பெற்றவளுக்கும் pɛ̝t̺t̺ʳʌʋʌ˞ɭʼɨkkɨm 
பெற்றவுடனேயே pɛ̝t̺t̺ʳʌʋʉ̩˞ɽʌn̺eːɪ̯eˑ 
பெற்றவை pɛ̝t̺t̺ʳʌʋʌɪ̯ 
பெற்றார் pɛ̝t̺t̺ʳɑːr 
பெற்றால் pɛ̝t̺t̺ʳɑːl 
பெற்றிட pɛ̝t̺t̺ʳɪ˞ɽə 
பெற்றிடவும் pɛ̝t̺t̺ʳɪ˞ɽʌʋʉ̩m 
பெற்றிருக்க pɛ̝t̺t̺ʳɪɾɨkkə 
பெற்றிருக்கவேண்டும் pɛ̝t̺t̺ʳɪɾɨkkʌʋe˞ːɳɖɨm 
பெற்றிருக்கின்றனர் pɛ̝t̺t̺ʳɪɾɨkkʲɪn̺d̺ʳʌn̺ʌr 
பெற்றிருக்கிறது pɛ̝t̺t̺ʳɪɾɨkkʲɪɾʌðɨ 
பெற்றிருக்கிறார்கள் pɛ̝t̺t̺ʳɪɾɨkkʲɪɾɑːrɣʌ˞ɭ 
பெற்றிருக்கிறேன் pɛ̝t̺t̺ʳɪɾɨkkʲɪɾeːn̺ 
பெற்றிருக்கும் pɛ̝t̺t̺ʳɪɾɨkkɨm 
பெற்றிருந்த pɛ̝t̺t̺ʳɪɾɨn̪d̪ə 
பெற்றிருந்ததால் pɛ̝t̺t̺ʳɪɾɨn̪d̪ʌðɑːl 
பெற்றிருந்தன pɛ̝t̺t̺ʳɪɾɨn̪d̪ʌn̺ə 
பெற்றிருந்தனர் pɛ̝t̺t̺ʳɪɾɨn̪d̪ʌn̺ʌr 
பெற்றிருந்தவர் pɛ̝t̺t̺ʳɪɾɨn̪d̪ʌʋʌr 
பெற்றிருந்தவர்களில் pɛ̝t̺t̺ʳɪɾɨn̪d̪ʌʋʌrɣʌ˞ɭʼɪl 
பெற்றிருந்தார் pɛ̝t̺t̺ʳɪɾɨn̪d̪ɑːr 
பெற்றிருப்பதால் pɛ̝t̺t̺ʳɪɾɨppʌðɑːl 
பெற்றிருப்பது pɛ̝t̺t̺ʳɪɾɨppʌðɨ 
பெற்றிருப்பார்கள் pɛ̝t̺t̺ʳɪɾɨppɑːrɣʌ˞ɭ 
பெற்றிருப்பேன் pɛ̝t̺t̺ʳɪɾɨppeːn̺ 
பெற்றீர்களோ pɛ̝t̺t̺ʳiːrɣʌ˞ɭʼoˑ 
பெற்று pɛ̝t̺t̺ʳɨ 
பெற்றுக் pɛ̝t̺t̺ʳɨk 
பெற்றுக்கொடுப்பதற்கும் pɛ̝t̺t̺ʳɨkko̞ɽɨppʌðʌrkɨm 
பெற்றுக்கொண்டார் pɛ̝t̺t̺ʳɨkko̞ɳɖɑːr 
பெற்றுக்கொண்டு pɛ̝t̺t̺ʳɨkko̞ɳɖɨ 
பெற்றுக்கொள்ள pɛ̝t̺t̺ʳɨkko̞ɭɭə 
பெற்றுக்கொள்ளப்பட்டது pɛ̝t̺t̺ʳɨkko̞ɭɭʌppʌ˞ʈʈʌðɨ 
பெற்றுக்கொள்ளலாம் pɛ̝t̺t̺ʳɨkko̞ɭɭʌlɑːm 
பெற்றுக்கொள்ளவும் pɛ̝t̺t̺ʳɨkko̞ɭɭʌʋʉ̩m 
பெற்றுக்கொள்ளும் pɛ̝t̺t̺ʳɨkko̞ɭɭɨm 
பெற்றுக்கொள்வதாக pɛ̝t̺t̺ʳɨkko̞ɭʋʌðɑːxə 
பெற்றுத் pɛ̝t̺t̺ʳɨt̪ 
பெற்றுத்தர pɛ̝t̺t̺ʳɨt̪t̪ʌɾə 
பெற்றுத்தரக்கூடியது pɛ̝t̺t̺ʳɨt̪t̪ʌɾʌkku˞ːɽɪɪ̯ʌðɨ 
பெற்றுத்தரப்படும் pɛ̝t̺t̺ʳɨt̪t̪ʌɾʌppʌ˞ɽɨm 
பெற்றுத்தரும்” pɛ̝t̺t̺ʳɨt̪t̪ʌɾɨm” 
பெற்றுத்தருவார்கள் pɛ̝t̺t̺ʳɨt̪t̪ʌɾɨʋɑːrɣʌ˞ɭ 
பெற்றும் pɛ̝t̺t̺ʳɨm 
பெற்றுள் pɛ̝t̺t̺ʳɨ˞ɭ 
பெற்றுள்ள pɛ̝t̺t̺ʳɨ˞ɭɭə 
பெற்றுள்ளதில் pɛ̝t̺t̺ʳɨ˞ɭɭʌðɪl 
பெற்றுள்ளது pɛ̝t̺t̺ʳɨ˞ɭɭʌðɨ 
பெற்றுள்ளன pɛ̝t̺t̺ʳɨ˞ɭɭʌn̺ə 
பெற்றுள்ளனர் pɛ̝t̺t̺ʳɨ˞ɭɭʌn̺ʌr 
பெற்றுள்ளனவா pɛ̝t̺t̺ʳɨ˞ɭɭʌn̺ʌʋɑː 
பெற்றுள்ளவர்கள் pɛ̝t̺t̺ʳɨ˞ɭɭʌʋʌrɣʌ˞ɭ 
பெற்றுள்ளார் pɛ̝t̺t̺ʳɨ˞ɭɭɑːr 
பெற்றுள்ளார்கள் pɛ̝t̺t̺ʳɨ˞ɭɭɑːrɣʌ˞ɭ 
பெற்றுள்ளோம் pɛ̝t̺t̺ʳɨ˞ɭɭoːm 
பெற்றுவந்துள்ளது pɛ̝t̺t̺ʳɨʋʌn̪d̪ɨ˞ɭɭʌðɨ 
பெற்றுவரும் pɛ̝t̺t̺ʳɨʋʌɾɨm 
பெற்றுவருவதைப் pɛ̝t̺t̺ʳɨʋʌɾɨʋʌðʌɪ̯p 
பெற்றுவிட pɛ̝t̺t̺ʳɨʋɪ˞ɽə 
பெற்றுவிடலாம் pɛ̝t̺t̺ʳɨʋɪ˞ɽʌlɑːm 
பெற்றுவிடவேண்டும் pɛ̝t̺t̺ʳɨʋɪ˞ɽʌʋe˞ːɳɖɨm 
பெற்றுவிடுகிறது pɛ̝t̺t̺ʳɨʋɪ˞ɽɨçɪɾʌðɨ 
பெற்றுவிடுவார்கள் pɛ̝t̺t̺ʳɨʋɪ˞ɽɨʋɑːrɣʌ˞ɭ 
பெற்றுவிட்ட pɛ̝t̺t̺ʳɨʋɪ˞ʈʈə 
பெற்றுவிட்டது pɛ̝t̺t̺ʳɨʋɪ˞ʈʈʌðɨ 
பெற்றுவிட்டன pɛ̝t̺t̺ʳɨʋɪ˞ʈʈʌn̺ə 
பெற்றுவிட்டார் pɛ̝t̺t̺ʳɨʋɪ˞ʈʈɑːr 
பெற்றுவிட்டு pɛ̝t̺t̺ʳɨʋɪ˞ʈʈɨ 
பெற்றெடுக்கிறாள் pɛ̝t̺t̺ʳɛ̝ɽɨkkʲɪɾɑ˞ːɭ 
பெற்றேன் pɛ̝t̺t̺ʳeːn̺ 
பெற்றோரிடம் pɛ̝t̺t̺ʳoːɾɪ˞ɽʌm 
பெற்றோரின் pɛ̝t̺t̺ʳoːɾɪn̺ 
பெற்றோருக்கு pɛ̝t̺t̺ʳoːɾɨkkɨ 
பெற்றோரை pɛ̝t̺t̺ʳoːɾʌɪ̯ 
பெற்றோரையே pɛ̝t̺t̺ʳoːɾʌjɪ̯eˑ 
பெற்றோர் pɛ̝t̺t̺ʳoːr 
பெற்றோர்களிடமிருந்தும் pɛ̝t̺t̺ʳoːrɣʌ˞ɭʼɪ˞ɽʌmɪɾɨn̪d̪ɨm 
பெற்றோர்களிடம் pɛ̝t̺t̺ʳoːrɣʌ˞ɭʼɪ˞ɽʌm 
பெற்றோர்களுக்கு pɛ̝t̺t̺ʳoːrɣʌ˞ɭʼɨkkɨ 
பெற்றோர்களும் pɛ̝t̺t̺ʳoːrɣʌ˞ɭʼɨm 
பெற்றோர்கள் pɛ̝t̺t̺ʳoːrɣʌ˞ɭ 
பெலாரஸ் pɛ̝lɑːɾʌs 
பெலிகன் pɛ̝lɪxʌn̺ 
பெலிக்கன் pɛ̝lɪkkʌn̺ 
பெலிசியானோ pɛ̝lɪsɪɪ̯ɑːn̺oˑ 
பெல் pɛ̝l 
பெல்கிரேடில் pɛ̝lgʲɪɾe˞ːɽɪl 
பெல்ஜியத்தின் pɛ̝ldʒɪɪ̯ʌt̪t̪ɪn̺ 
பெல்ஜியத்தில் pɛ̝ldʒɪɪ̯ʌt̪t̪ɪl 
பெல்ஜியன் pɛ̝ldʒɪɪ̯ʌn̺ 
பெல்ஜியப் pɛ̝ldʒɪɪ̯ʌp 
பெல்ஜியம் pɛ̝ldʒɪɪ̯ʌm 
பெல்டானது pɛ̝lʈɑːn̺ʌðɨ 
பெல்டின் pɛ̝lʈɪn̺ 
பெல்டுகளை pɛ̝lʈɨxʌ˞ɭʼʌɪ̯ 
பெல்டும் pɛ̝lʈɨm 
பெல்டை pɛ̝lʈʌɪ̯ 
பெல்ட் pɛ̝lʈ 
பெல்மான்ட் pɛ̝lmɑːn̺ʈ 
பெஷாவரில் pɛ̝ʂɑːʋʌɾɪl 
பெஷாவர் pɛ̝ʂɑːʋʌr 
பெஸ்டிவல் pɛ̝sʈɪʋʌl 
பெஸ்டிவல்லுக்கு pɛ̝sʈɪʋʌllɨkkɨ 
பெஸ்ட் pɛ̝sʈ 
பெஹ்த்தியை pɛ̝ɦt̪t̪ɪɪ̯ʌɪ̯ 
பொட்டலங்கள் pɛ̝ˀɑ˞ːʈʈʌlʌŋgʌ˞ɭ 
பொது pɛ̝ˀɑːðɨ 
பொதுச் pɛ̝ˀɑːðɨtʃ 
பொதுச்செயலாளரும் pɛ̝ˀɑːðɨtʃtʃɛ̝ɪ̯ʌlɑ˞ːɭʼʌɾɨm 
பொதுமக்கள் pɛ̝ˀɑːðɨmʌkkʌ˞ɭ 
பொருட்களுக்கு pɛ̝ˀɑːɾɨ˞ʈkʌ˞ɭʼɨkkɨ 
பொருட்களுக்குத்தான் pɛ̝ˀɑːɾɨ˞ʈkʌ˞ɭʼɨkkɨt̪t̪ɑːn̺ 
பொருட்களை pɛ̝ˀɑːɾɨ˞ʈkʌ˞ɭʼʌɪ̯ 
பொருட்கள் pɛ̝ˀɑːɾɨ˞ʈkʌ˞ɭ 
பொருத்தவரை pɛ̝ˀɑːɾɨt̪t̪ʌʋʌɾʌɪ̯ 
பொருளாளர் pɛ̝ˀɑːɾɨ˞ɭʼɑ˞ːɭʼʌr 
பொருளில் pɛ̝ˀɑːɾɨ˞ɭʼɪl 
பொருள் pɛ̝ˀɑːɾɨ˞ɭ 
பொறுத்தவரை pɛ̝ˀɑːɾɨt̪t̪ʌʋʌɾʌɪ̯ 
பொறுப்பாளர் pɛ̝ˀɑːɾɨppɑ˞ːɭʼʌr 
பொறுப்பு pɛ̝ˀɑːɾɨppʉ̩ 
பொறுப்பையும் pɛ̝ˀɑːɾɨppʌjɪ̯ɨm 
பொறுமையுடன் pɛ̝ˀɑːɾɨmʌjɪ̯ɨ˞ɽʌn̺ 
பே peˑ 
பேஃஸ்புக் peːxspʉ̩k 
பேகஸாஷ் peːxʌsɑːʂ 
பேக் peːk 
பேக்அப் peːxʌp 
பேக்கரி peːkkʌɾɪˑ 
பேக்கரிகளுக்கு peːkkʌɾɪxʌ˞ɭʼɨkkɨ 
பேக்கரிகளை peːkkʌɾɪxʌ˞ɭʼʌɪ̯ 
பேக்கரியை peːkkʌɾɪɪ̯ʌɪ̯ 
பேக்கிக் peːkkʲɪk 
பேக்கிங் peːkkʲɪŋ 
பேக்குகளில் peːkkɨxʌ˞ɭʼɪl 
பேக்குகளும் peːkkɨxʌ˞ɭʼɨm 
பேக்குகளை peːkkɨxʌ˞ɭʼʌɪ̯ 
பேக்குகள் peːkkɨxʌ˞ɭ 
பேக்கேஜிங் peːkkeːdʒɪŋ 
பேக்தான் peːkt̪ɑːn̺ 
பேக்ஸ் peːks 
பேங்கிங் peːŋʲgʲɪŋ 
பேங்க் peːŋg 
பேங் peːŋ 
பேச peːsə 
பேசக்கூடாது peːsʌkku˞ːɽɑːðɨ 
பேசட்டும் peːsʌ˞ʈʈɨm 
பேசணும்னு peːsʌ˞ɳʼɨmn̺ɨ 
பேசத் peːsʌt̪ 
பேசத்தொடங்கினார் peːsʌt̪t̪o̞ɽʌŋʲgʲɪn̺ɑːr 
பேசன் peːsʌn̺ 
பேசப்பட peːsʌppʌ˞ɽə 
பேசப்படுகின்றன peːsʌppʌ˞ɽɨçɪn̺d̺ʳʌn̺ə 
பேசப்படுகின்றனவா peːsʌppʌ˞ɽɨçɪn̺d̺ʳʌn̺ʌʋɑː 
பேசப்படுகிறது peːsʌppʌ˞ɽɨçɪɾʌðɨ 
பேசப்படுகிறதே peːsʌppʌ˞ɽɨçɪɾʌðeˑ 
பேசப்படும் peːsʌppʌ˞ɽɨm 
பேசப்பட்டது peːsʌppʌ˞ʈʈʌðɨ 
பேசப்பட்டும் peːsʌppʌ˞ʈʈɨm 
பேசமாட்டான் peːsʌmɑ˞ːʈʈɑːn̺ 
பேசமுடியும் peːsʌmʉ̩˞ɽɪɪ̯ɨm 
பேசற peːsʌɾə 
பேசறது peːsʌɾʌðɨ 
பேசலாம் peːsʌlɑːm 
பேசல் peːsʌl 
பேசவில்லை peːsʌʋɪllʌɪ̯ 
பேசவில்லையே peːsʌʋɪllʌjɪ̯eˑ 
பேசவும் peːsʌʋʉ̩m 
பேசவே peːsʌʋeˑ 
பேசவேண்டியது peːsʌʋe˞ːɳɖɪɪ̯ʌðɨ 
பேசவைத்த peːsʌʋʌɪ̯t̪t̪ə 
பேசாதவன் peːsɑːðʌʋʌn̺ 
பேசாமல் peːsɑːmʌl 
பேசி peːsɪˑ 
பேசிக் peːsɪk 
பேசிக்கிட்டிருந்தோம் peːsɪkkʲɪ˞ʈʈɪɾɨn̪d̪oːm 
பேசிக்கொண்டதில்லை peːsɪkko̞ɳɖʌðɪllʌɪ̯ 
பேசிக்கொண்டிருக்கிறார்கள் peːsɪkko̞ɳɖɪɾɨkkʲɪɾɑːrɣʌ˞ɭ 
பேசிக்கொண்டிருக்கும் peːsɪkko̞ɳɖɪɾɨkkɨm 
பேசிக்கொண்டு peːsɪkko̞ɳɖɨ 
பேசிக்கொண்டே peːsɪkko̞ɳɖeˑ 
பேசிக்கொள்கிறார்கள் peːsɪkko̞ɭgʲɪɾɑːrɣʌ˞ɭ 
பேசிக்கொள்ள peːsɪkko̞ɭɭə 
பேசிக்கொள்ளலாம் peːsɪkko̞ɭɭʌlɑːm 
பேசிக்கொள்ளாத peːsɪkko̞ɭɭɑːðə 
பேசிக்கொள்வோம் peːsɪkko̞ɭʋoːm 
பேசிட peːsɪ˞ɽə 
பேசித் peːsɪt̪ 
பேசித்தான் peːsɪt̪t̪ɑːn̺ 
பேசினர் peːsɪn̺ʌr 
பேசினாரா peːsɪn̺ɑːɾɑː 
பேசினாரே peːsɪn̺ɑːɾeˑ 
பேசினார் peːsɪn̺ɑːr 
பேசினார்கள் peːsɪn̺ɑːrɣʌ˞ɭ 
பேசினால் peːsɪn̺ɑːl 
பேசினேன் peːsɪn̺eːn̺ 
பேசினோம் peːsɪn̺oːm 
பேசின் peːsɪn̺ 
பேசிய peːsɪɪ̯ə 
பேசியதற்கு peːsɪɪ̯ʌðʌrkɨ 
பேசியதாவது peːsɪɪ̯ʌðɑːʋʌðɨ 
பேசியதிலிருந்து peːsɪɪ̯ʌðɪlɪɾɨn̪d̪ɨ 
பேசியது peːsɪɪ̯ʌðɨ 
பேசியதுடன் peːsɪɪ̯ʌðɨ˞ɽʌn̺ 
பேசியதும் peːsɪɪ̯ʌðɨm 
பேசியதை peːsɪɪ̯ʌðʌɪ̯ 
பேசியதோடு peːsɪɪ̯ʌðo˞ːɽɨ 
பேசியபோது peːsɪɪ̯ʌβoːðɨ 
பேசியவர் peːsɪɪ̯ʌʋʌr 
பேசியவர்களோடு peːsɪɪ̯ʌʋʌrɣʌ˞ɭʼo˞ːɽɨ 
பேசியவர்கள் peːsɪɪ̯ʌʋʌrɣʌ˞ɭ 
பேசியவவாறு peːsɪɪ̯ʌʋʌʋɑːɾɨ 
பேசியிருக்கிறாரே peːsɪɪ̯ɪɾɨkkʲɪɾɑːɾeˑ 
பேசியிருக்கிறார் peːsɪɪ̯ɪɾɨkkʲɪɾɑːr 
பேசியிருந்தார் peːsɪɪ̯ɪɾɨn̪d̪ɑːr 
பேசியிருப்பதாக peːsɪɪ̯ɪɾɨppʌðɑːxə 
பேசியிருப்பது peːsɪɪ̯ɪɾɨppʌðɨ 
பேசியிருப்பேன் peːsɪɪ̯ɪɾɨppeːn̺ 
பேசியும் peːsɪɪ̯ɨm 
பேசியுள்ள peːsɪɪ̯ɨ˞ɭɭə 
பேசியுள்ளதாக peːsɪɪ̯ɨ˞ɭɭʌðɑːxə 
பேசியுள்ளார் peːsɪɪ̯ɨ˞ɭɭɑːr 
பேசிலஸ் peːsɪlʌs 
பேசிவந்தனர் peːsɪʋʌn̪d̪ʌn̺ʌr 
பேசிவருகிறொம் peːsɪʋʌɾɨçɪɾo̞m 
பேசிவிட்டு peːsɪʋɪ˞ʈʈɨ 
பேசிவிட்டேன் peːsɪʋɪ˞ʈʈeːn̺ 
பேசு peːsɨ 
பேசுகின்றனர் peːsɨçɪn̺d̺ʳʌn̺ʌr 
பேசுகிறது peːsɨçɪɾʌðɨ 
பேசுகிறான் peːsɨçɪɾɑːn̺ 
பேசுகிறாரே peːsɨçɪɾɑːɾeˑ 
பேசுகிறார் peːsɨçɪɾɑːr 
பேசுகிறார்களா peːsɨçɪɾɑːrɣʌ˞ɭʼɑː 
பேசுகிறார்கள் peːsɨçɪɾɑːrɣʌ˞ɭ 
